article_id,high_quality_overall,low_quality_overall,high_quality_thesis,low_quality_thesis,high_quality_persuasive,low_quality_persuasive,high_quality_reasonable,low_quality_reasonable,high_quality_self_contained,low_quality_self_contained
16,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
17,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
18,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_5']","['summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
19,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
20,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
21,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
22,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
23,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
24,"['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_5']","['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3']","['summary_1', 'summary_3', 'summary_4']","['summary_2', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_5']"
25,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
26,"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5']
27,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
28,"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
29,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
30,"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4']
31,[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']"
32,"['summary_1', 'summary_4', 'summary_5']","['summary_2', 'summary_3']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_3', 'summary_4']","['summary_2', 'summary_5']","['summary_1', 'summary_5']","['summary_2', 'summary_3', 'summary_4']"
33,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
34,"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2']
35,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4']
36,"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3']","['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
37,"['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']","['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4']
38,"['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3']","['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_4', 'summary_5']","['summary_2', 'summary_3']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
40,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
41,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
42,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
43,['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']"
44,"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5']
45,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
46,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
47,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
48,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
50,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
51,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
54,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
55,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
56,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
57,"['summary_1', 'summary_4', 'summary_5']","['summary_2', 'summary_3']","['summary_1', 'summary_4', 'summary_5']","['summary_2', 'summary_3']","['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_5']","['summary_2', 'summary_3', 'summary_4']","['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']"
58,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
59,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
60,"['summary_1', 'summary_2', 'summary_3']","['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3']","['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']"
61,['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3']"
62,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
63,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
64,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
66,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
67,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
68,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
69,"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_2', 'summary_5']","['summary_1', 'summary_3', 'summary_4']"
70,"['summary_1', 'summary_4', 'summary_5']","['summary_2', 'summary_3']","['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3']"
71,"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1']
72,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
73,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3']
75,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
76,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_5']","['summary_1', 'summary_3', 'summary_4']"
78,"['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
79,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3']
80,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_5']"
81,"['summary_2', 'summary_3', 'summary_5']","['summary_1', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_2', 'summary_3']","['summary_1', 'summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
